Feedstock,Biogas processing,Biogas upgrading,TSD,Digestate storage
0.000255626,10.68440575,3.173333333,0.024042155,0.187534473
0.001559475,10.75071581,3.4,0.024252351,0.053907692
0.001848267,12.3604058,0.041622487,0.033349642,0.062511491
0.003928889,12.7752452,0.045907154,0.03904037,0.091983876
0.009444444,13.97762122,0.048967631,0.045698777,0.105965425
0.00976742,48.51891892,0.052028108,0.049687744,0.328602311
0.013960229,9.147017873,0.059373253,0.050318193,0.187534473
0.018334035,9.183786962,0.067942589,0.056444484,0.11452354
0.02005554,9.303836464,0.081408687,0.057969034,0.164301155
0.022133834,9.724009724,0.084469164,0.062109679,0.169581346
0.02925911,0.823144868,0.226666667,0.065459341,0.176752107
0.032119023,0.858637839,0.226666667,0.084666727,0.985806932
0.415555556,1.10305177,1.531531532,0.085864841,0.492903466
0.424622222,1.263384597,1.563387387,0.0940518,1.643011553
0.492903466,1.270603937,1.646702703,0.098709358,1.478710398
0.520520521,1.312491979,4.188804189,0.099781305,0.687626402
0.624571623,1.531531532,6,0.100048926,0.763116057
0.867434151,1.603724937,3.4,0.112020592,0.783460852
1.071536304,1.675521676,0.002448382,0.11712111,0.847723399
1.136432432,1.691388358,0.003060477,0.12627027,0.875160875
1.224374965,1.787223121,0.005508859,0.130235322,1.95018548
4.277149877,1.820305154,0.010405622,0.168583416,33.29416373
5.627811046,1.884961885,0.03452218,0.18685352,0.328602311
19.85229897,1.941830909,0.03856201,0.18751208,1.478710398
28.779994,2.058056602,1.782145782,0.202259402,0.512132418
1.502191847,2.094402094,1.975063063,0.214722035,0.582809837
2.145777778,2.191111111,2.807521326,0.229375498,6.016114169
2.213845692,2.45045045,2.820411886,0.252540541,6.063614635
2.553777778,2.511299178,3.173333333,0.296230054,6.796493463
3.564291564,2.602602603,8.402718882,0.300523243,7.258631605
3.626666667,2.940540541,16.54666667,0.38705372,7.523545167
4.223555556,3.430630631,16.74402698,0.523674725,7.53984754
0.037038989,3.531313467,19.52467779,0.523674725,7.972858612
0.037803806,3.588408922,30.22222222,0.531809231,8.034263772
0.045933656,3.844512001,72.38222222,0.750639841,8.821621622
0.046666565,4.021262961,,0.765307638,11.0140521
0.053946667,4.157710534,,0.816571417,11.18222222
0.060444444,4.160878828,,1.00591716,11.33333333
0.064724698,4.936876344,,2.04,11.48444444
0.070191111,9.724009724,,2.6418487,12.08888889
0.090666667,9.976222689,,3.555039749,12.56641257
0.12090085,10.02413348,,4.231111111,13.08672997
0.163822065,10.20420774,,4.419092375,13.4041734
0.179822222,10.68440575,,5.417738613,14.5315012
0.216088889,5.001971669,,,41.28476302
0.219866667,5.365365365,,,139.7022222
0.222888889,6.302598895,,,0.985806932
0.222888889,6.949357735,,,39.95299647
0.2312,7.443069171,,,1.150108087
,7.983291934,,,1.187069422
,8.103341437,,,1.250229822
,8.103341437,,,1.314409243
,8.223390939,,,1.314409243
,8.583539448,,,1.356207908
,8.643564199,,,1.430182885
,8.703588951,,,1.478710398
,8.821621622,,,2.794610235
,0.002133919,,,3.005564304
,0.003556532,,,3.022222222
,0.003581017,,,3.052464229
,0.003798441,,,3.096903982
,0.007829963,,,3.188086045
,0.043953392,,,0.492903466
,0.052213534,,,3.324444444
,0.064977778,,,3.430630631
,0.071022222,,,3.443876309
,0.083111111,,,3.626666667
,0.090666667,,,4.076118935
,0.138266667,,,4.662478695
,0.156599267,,,5.342637215
,0.176159469,,,5.817777778
,0.180089157,,,39.95299647
,0.189405405,,,33.29416373
,0.214489041,,,16.06852754
,0.216772672,,,16.76766141
,0.21935413,,,17.03015757
,0.223248586,,,17.83111111
,0.225445504,,,18.15148482
,0.227911814,,,18.4937442
,0.242711283,,,19.26666667
,0.248045597,,,14.80044147
,0.276533333,,,48.05333333
,0.345823159,,,60.1636806
,0.347506842,,,60.74666667
,0.348023831,,,76.38666667
,0.349578689,,,139.7022222
,0.351013481,,,39.95299647
,0.353745875,,,19.54775288
,0.37370704,,,22.59329143
,0.490650193,,,25.51948398
,0.560560561,,,26.63533098
,0.661111111,,,28.34424168
,0.661111111,,,1.695813461
,0.705193583,,,1.737777778
,0.774107441,,,1.807312709
,8.823638453,,,29.24
,8.922177195,,,31.50666667
,61.92714454,,,41.70666667
,66.58832746,,,44.57777778
,106.5413239,,,39.95299647
,,,,46.31555556
,,,,2.000367715
,,,,2.119766826
,,,,2.435112907
,,,,2.625482625
,,,,0.492903466
,,,,44.88
,,,,0.932697403
,,,,0.937672366
,,,,0.985806932
,,,,1.643011553
,,,,41.28476302
,,,,0.635792549
,,,,1.807312709
,,,,1.907377648
,,,,1.95018548
,,,,1.565992668
,,,,199.9955556
,,,,242.08
